DATE, EX_NUM, BOOL_PREPROC, NOISE, method_name, error_norm 
24-Jun-2017 13:19:45,4,0,1e-07,Batch With STLN,2.5125e-06 
24-Jun-2017 13:19:45,4,0,1e-07,Batch Constrained,1.1922e-06 
24-Jun-2017 13:19:45,4,0,1e-07,Batch Constrained With STLN,3.5539e-07 
24-Jun-2017 13:19:45,5,0,1e-07,Separate,2.7305e-07 
24-Jun-2017 13:19:45,5,0,1e-07,Batch,2.7305e-07 
24-Jun-2017 13:19:45,5,0,1e-07,Batch With STLN,2.7029e-07 
24-Jun-2017 13:19:45,5,0,1e-07,Batch Constrained,9.3124e-08 
24-Jun-2017 13:19:45,5,0,1e-07,Batch Constrained With STLN,7.1756e-08 
24-Jun-2017 13:19:45,6,0,1e-07,Separate,2.7305e-07 
24-Jun-2017 13:19:45,6,0,1e-07,Batch,2.7305e-07 
24-Jun-2017 13:19:45,6,0,1e-07,Batch With STLN,2.7029e-07 
24-Jun-2017 13:19:45,6,0,1e-07,Batch Constrained,9.3124e-08 
24-Jun-2017 13:19:45,6,0,1e-07,Batch Constrained With STLN,7.1756e-08 
24-Jun-2017 13:19:45,2,0,1e-07,Separate,5.6924e-07 
24-Jun-2017 13:19:45,2,0,1e-07,Batch,5.6924e-07 
24-Jun-2017 13:19:45,2,0,1e-07,Batch With STLN,5.646e-07 
24-Jun-2017 13:19:45,2,0,1e-07,Batch Constrained,1.871e-07 
24-Jun-2017 13:19:45,2,0,1e-07,Batch Constrained With STLN,1.8983e-07 
24-Jun-2017 13:19:47,4,1,1e-08,Separate,2.4285e-07 
24-Jun-2017 13:19:47,4,1,1e-08,Batch,2.4952e-08 
24-Jun-2017 13:19:47,4,1,1e-08,Batch With STLN,2.4334e-08 
24-Jun-2017 13:19:47,4,1,1e-08,Batch Constrained,7.778e-09 
24-Jun-2017 13:19:47,4,1,1e-08,Batch Constrained With STLN,4.9939e-09 
24-Jun-2017 13:19:47,5,1,1e-08,Separate,2.7305e-08 
24-Jun-2017 13:19:47,5,1,1e-08,Batch,3.187e-08 
24-Jun-2017 13:19:47,5,1,1e-08,Batch With STLN,3.1507e-08 
24-Jun-2017 13:19:47,5,1,1e-08,Batch Constrained,1.3898e-08 
24-Jun-2017 13:19:47,5,1,1e-08,Batch Constrained With STLN,1.1789e-08 
24-Jun-2017 13:19:47,6,1,1e-08,Separate,2.7305e-08 
24-Jun-2017 13:19:47,6,1,1e-08,Batch,3.187e-08 
24-Jun-2017 13:19:47,6,1,1e-08,Batch With STLN,3.1507e-08 
24-Jun-2017 13:19:47,6,1,1e-08,Batch Constrained,1.3898e-08 
24-Jun-2017 13:19:47,6,1,1e-08,Batch Constrained With STLN,1.1789e-08 
24-Jun-2017 13:19:47,2,1,1e-08,Separate,5.6924e-08 
24-Jun-2017 13:19:47,2,1,1e-08,Batch,5.9806e-08 
24-Jun-2017 13:19:47,2,1,1e-08,Batch With STLN,5.9297e-08 
24-Jun-2017 13:19:47,2,1,1e-08,Batch Constrained,2.1529e-08 
24-Jun-2017 13:19:47,2,1,1e-08,Batch Constrained With STLN,2.1743e-08 
24-Jun-2017 13:19:48,4,0,1e-08,Separate,2.4285e-07 
